poll_reading_id,election_cycle_id,corpus,scope,measurement_class,denominator_semantics,same_sample_dependence_group
canadapulse_20251006_mayor_all,toronto-2026,current,citywide_mayoral,context_only,all_respondents,canadapulse-2025-10-06
forum_20250904_mayor_chow_bailao,toronto-2026,current,citywide_mayoral,alternative_ballot,not_reported,forum-2025-09-04
forum_20250904_mayor_chow_bradford,toronto-2026,current,citywide_mayoral,alternative_ballot,not_reported,forum-2025-09-04
forum_20250904_mayor_chow_tory,toronto-2026,current,citywide_mayoral,alternative_ballot,not_reported,forum-2025-09-04
forum_20250904_mayor_primary,toronto-2026,current,citywide_mayoral,campaign_vote_intention,decided_plus_leaners,forum-2025-09-04
forum_20260729_mayor_alexander,toronto-2026,current,citywide_mayoral,alternative_ballot,decided_plus_leaners,forum-2026-07-29
forum_20260729_mayor_primary,toronto-2026,current,citywide_mayoral,campaign_vote_intention,decided_plus_leaners,forum-2026-07-29
forum_w05_20260622_23_council,toronto-2026,current,council,campaign_vote_intention,decided_plus_leaners,forum_w05_20260622_23
forum_w05_20260622_23_mayor,toronto-2026,current,ward_mayoral,campaign_vote_intention,decided_plus_leaners,forum_w05_20260622_23
forum_w11_20260812_council_current,toronto-2026,current,council,campaign_vote_intention,decided_plus_leaners,forum_w11_20260812
forum_w11_20260812_council_layton,toronto-2026,current,council,alternative_ballot,not_reported,forum_w11_20260812
forum_w11_20260812_mayor,toronto-2026,current,ward_mayoral,campaign_vote_intention,not_reported,forum_w11_20260812
forum_w13_20260622_23_council,toronto-2026,current,council,campaign_vote_intention,decided_plus_leaners,forum_w13_20260622_23
forum_w13_20260622_23_mayor,toronto-2026,current,ward_mayoral,campaign_vote_intention,decided_plus_leaners,forum_w13_20260622_23
forum_w13_20260622_23_wong_tam,toronto-2026,current,council,alternative_ballot,not_reported,forum_w13_20260622_23
forum_w19_20260622_23_council,toronto-2026,current,council,alternative_ballot,decided_plus_leaners,forum_w19_20260622_23
forum_w19_20260622_23_mayor,toronto-2026,current,ward_mayoral,campaign_vote_intention,decided_plus_leaners,forum_w19_20260622_23
forum_w19_20260811_12_council,toronto-2026,current,council,alternative_ballot,decided_plus_leaners,forum_w19_20260811_12
forum_w20_20260622_23_council,toronto-2026,current,council,campaign_vote_intention,decided_plus_leaners,forum_w20_20260622_23
