row_type,sav_file,doi,cycle,era,fieldwork_date,precision,n,weighted,n_ballot_scenarios,ballot_candidate_sets,matched_sample_id,corpus_fieldwork,corpus_n,n_delta_raw_minus_pub,match_basis,codebook
sav,Toronto - August 2018 - Dataset.sav,sp2-qcpm89,toronto_2018,2018,2018-08,month,1242,yes,3,Q1A[Tory/Keesmaat]; Q1B[Tory/Keesmaat]; Q9A[Conservative/Liberal/NDP/Green],forum_city_2018_08_27_n1242,2018-08-27..2018-08-27,1242,0,month+n-exact,Toronto - August 2018 - Codebook.docx
sav,Toronto - February 2018 - Dataset.sav,sp2-qcpm89,toronto_2018,2018,2018-02,month,977,yes,1,Q14[Conservative/Liberal/Democratic/Green],,,,,NEW,Toronto - February 2018 - Codebook.docx
sav,Toronto - July 26-29 2018 - Dataset.sav,sp2-qcpm89,toronto_2018,2018,2018-07-26,day,2144,yes,0,,,,,,NEW,Toronto - July 26-29 2018 - Codebook.docx
sav,Toronto - July 27 2018 - Dataset.sav,sp2-qcpm89,toronto_2018,2018,2018-07-27,day,1328,yes,3,Q1A[Tory/Keesmaat]; Q1B[Tory/Keesmaat]; Q5A[Conservative/Liberal/Democratic/Green],forum_city_2018_07_27_n1328,2018-07-27..2018-07-27,1328,0,date+n-exact,Toronto - July 27 2018 - Codebook.docx
sav,Toronto - June 2018 - Dataset.sav,sp2-qcpm89,toronto_2018,2018,2018-06,month,2521,yes,0,,,,,,NEW,Toronto - June 2018 - Codebook.docx
sav,Toronto - October 1-3 2018 - Dataset.sav,sp2-qcpm89,toronto_2018,2018,2018-10-01,day,987,yes,2,Q1A[Tory/Keesmaat]; Q1B[Tory/Keesmaat],forum_city_2018_10_03_05_n987,2018-10-03..2018-10-05,987,0,date+n-exact,Toronto - October 1-3 2018 - Codebook.docx
sav,Toronto - October 19 2018 - Dataset.sav,sp2-qcpm89,toronto_2018,2018,2018-10-19,day,265,raw-only,0,,,,,,NEW,Toronto - October 19 2018 - Codebook.docx
sav,Toronto - October 9-10 2018 - Dataset.sav,sp2-qcpm89,toronto_2018,2018,2018-10-09,day,1206,yes,2,Q1A[Tory/Keesmaat]; Q1B[Tory/Keesmaat],forum_city_2018_10_09_10_n1206,2018-10-09..2018-10-10,1206,0,date+n-exact,Toronto - October 9-10 2018 - Codebook.docx
sav,Toronto - September 20-23 2018 - Dataset.sav,sp2-qcpm89,toronto_2018,2018,2018-09-20,day,944,yes,2,Q1A[Tory/Keesmaat]; Q1B[Tory/Keesmaat],forum_city_2018_09_20_24_n944,2018-09-20..2018-09-24,944,0,date+n-exact,Toronto - September 20-23 2018 - Codebook.docx
sav,Toronto - September 6 2018 - Dataset.sav,sp2-qcpm89,toronto_2018,2018,2018-09-06,day,811,yes,2,Q1A[Tory/Keesmaat]; Q1B[Tory/Keesmaat],forum_city_2018_09_06_n811,2018-09-06..2018-09-06,811,0,date+n-exact,Toronto - September 6 2018 - Codebook.docx
sav,FO1C_DATA_20131219.sav,sp3-2anyfr,toronto_2014,2013,2013-07-29,day,1414,raw-only,4,Q2[Ford/Chow]; Q3[Ford/Tory]; Q4[Ford/Giambrone]; Q5[Ford/Stintz],forum_city_2013_07_29_n1368,2013-07-29..2013-07-29,1368,46,date(±0d),FO1C Codebook (incomplete).docx
sav,FO1Q_DATA_20131219.sav,sp3-2anyfr,toronto_2014,2013,2013-08-29,day,870,raw-only,7,Q2[Ford/Chow]; Q3[Ford/Tory]; Q5[Ford/Stintz]; Q6[Ford/Minnan-Wong]; Q7[Ford/Chow/Tory/Stintz]; Q10[Ford/Tory/Chow/Stintz]; Q11[Ford/Tory/Chow/Stintz],forum_city_2013_08_29_n848,2013-08-29..2013-08-29,848,22,date(±0d),FO1Q Codebook (incomplete).docx
sav,FO2C_DATA_20131219.sav,sp3-2anyfr,toronto_2014,2013,2013-09-20,day,1119,raw-only,5,Q2[Stintz/Chow]; Q3[Chow/Tory]; Q5[Chow/Tory/Stintz]; Q6[Chow/Minnan-Wong]; Q7[Chow/Minnan-Wong/Stintz],forum_city_2013_09_22_n1082,2013-09-21..2013-09-22,1082,37,date(±1d),FO2C Codebook (incomplete).docx
sav,FO2W_DATA_20131219.sav,sp3-2anyfr,toronto_2014,2013,2013-10-28,day,1125,raw-only,5,Q5[Ford/Stintz/Soknacki/Chow]; Q6[Stintz/Chow/Soknacki/Tory]; Q7[Ford/Chow/Tory/Soknacki/Stintz]; Q8[Stintz/Chow/Soknacki/Minnan-Wong]; Q9[Ford/Chow/Minnan-Wong/Soknacki/Stintz],forum_city_2013_10_29_n1093,2013-10-29..2013-10-29,1093,32,date(±1d),FO2W Codebook (incomplete).docx
sav,FO3K_DATA_20131219.sav,sp3-2anyfr,toronto_2014,2013,2013-11-04,day,1418,raw-only,4,Q6[Ford/Stintz/Soknacki]; Q7[Ford/Chow/Stintz/Soknacki]; Q8[Ford/Chow/Stintz/Tory/Soknacki]; Q9[Ford/Tory/Stintz/Soknacki],forum_city_2013_11_04_n1393,2013-11-04..2013-11-04,1393,25,date(±0d),FO3K Codebook (incomplete).docx
sav,FO4i_DATA_20131219.sav,sp3-2anyfr,toronto_2014,2013,2013-12-09,day,914,raw-only,7,Q2[Ford/Stintz/Soknacki]; Q3[Ford/Chow/Stintz/Soknacki]; Q4[Ford/Chow/Stintz/Tory/Soknacki]; Q5[Ford/Stintz/Tory/Soknacki]; Q6[Chow/Stintz/Soknacki]; Q7[Tory/Stintz/Soknacki]; Q8[Tory/Chow/Stintz/Soknacki],,,,,NEW,FO4I Codebook (incomplete).docx
